index;Project url;Language;Contributors;OSE;BCE;PDE;SV;OS;SD;RS;TFS;UI;TC;CommitCount;DaysActive;FirstCommitDate;LastCommitDate;commitCentrality_Community Count;commitCentrality_TFN;commitCentrality_TFC;commitCentrality_CommunityAuthorCount_count;commitCentrality_CommunityAuthorCount_mean;commitCentrality_CommunityAuthorCount_stdev;commitCentrality_CommunityAuthorItemCount_count;commitCentrality_CommunityAuthorItemCount_mean;commitCentrality_CommunityAuthorItemCount_stdev;Issues_TFN;Issues_TFC;Issues_CommunityAuthorCount_count;Issues_CommunityAuthorCount_mean;Issues_CommunityAuthorCount_stdev;Issues_CommunityAuthorItemCount_count;Issues_CommunityAuthorItemCount_mean;Issues_CommunityAuthorItemCount_stdev;issuesAndPRsCentrality_TFN;issuesAndPRsCentrality_TFC;issuesAndPRsCentrality_CommunityAuthorCount_count;issuesAndPRsCentrality_CommunityAuthorCount_mean;issuesAndPRsCentrality_CommunityAuthorCount_stdev;issuesAndPRsCentrality_CommunityAuthorItemCount_count;issuesAndPRsCentrality_CommunityAuthorItemCount_mean;issuesAndPRsCentrality_CommunityAuthorItemCount_stdev;BusFactorNumber;SponsoredTFC;ExperiencedTFC
15;https://github.com/ibm-cds-labs/pixiedust;Scala;38;0;1;1;1;0;1;1;0;1;0;2157;1690;01/07/2016;16/02/2021;6;33;870.653.685.674.548;6;6.666.666.666.666.660;35.023.801.430.836.500;6;359.5;47.819.608.948.631.100;181;26.594.594.594.594.500;37;4.918.918.918.918.910;1.686.280.980.010.010;37;25;13.612.290.198.362.800;192;3.611.638.203.668.560;38;5.078.947.368.421.050;13.169.131.759.324.600;38;4.160.526.315.789.470;16.856.172.812.286.500;0.9637305699481865;5.656.003.708.854.890;9.105.238.757.533.610
16;https://github.com/scullxbones/akka-persistence-mongo;Scala;39;0;0;0;1;0;1;0;0;1;0;604;2982;19/10/2013;19/12/2021;4;37;6.887.417.218.543.040;4;9.5;35.118.845.842.842.400;4;151;20.116.328.359.486.100;90;4.774.774.774.774.770;6;15.166.666.666.666.600;19.934.057.957.843.500;6;55.5;8.253.665.852.213.790;102;4.538.784.067.085.950;5;20.6;23.754.999.473.794.900;5;190.8;33.130.907.020.484.600;0.9902912621359223;2.814.569.536.423.840;8.559.602.649.006.620
17;https://github.com/mdsol/mauth-java-client;Scala;40;1;1;0;0;1;1;0;1;1;1;557;3649;09/07/2012;06/07/2022;7;46;2.980.251.346.499.100;7;6.714.285.714.285.710;4.029.651.999.626.670;7;7.957.142.857.142.850;9.243.169.936.563.450;0;100;1;4;;1;4;;56;21.026.894.865.525.600;6;9.5;5.890.670.590.009.250;6;6.816.666.666.666.660;5.790.480.693.920.550;0.9824561403508771;8.258.527.827.648.110;7.432.675.044.883.300
18;https://github.com/lift/framework;Scala;39;1;1;1;1;0;1;1;0;0;0;3930;4310;19/12/2009;08/10/2021;5;119;5.463.104.325.699.740;5;24.6;2.401.666.088.364.490;5;786;9.982.329.387.472.640;302;4.674.961.909.598.780;11;27.636.363.636.363.600;38.725.373.406.263.500;11;358;6.278.264.091.291.470;377;35.673.484.429.703.300;10;37.9;5.367.691.413.551.180;10;542.7;9.542.674.968.558.630;0.9894459102902374;12.722.646.310.432.500;911.704.834.605.598
19;https://github.com/atnos-org/eff;Scala;40;0;0;0;0;1;1;0;1;1;0;1005;2381;05/01/2016;13/07/2022;3;39;40.398.009.950.248.700;3;13.666.666.666.666.600;3.214.550.253.664.310;3;335;25.350.147.928.562.400;41;4.967.741.935.483.870;4;10.75;8.958.236.433.584.450;4;38.75;3.368.852.425.777.450;69;16.555.661.274.976.200;5;14;1.063.014.581.273.460;5;210.2;1.716.761.486.054.480;0.9714285714285714;21.890.547.263.681.500;9.502.487.562.189.050
20;https://github.com/typesafehub/sbteclipse;Scala;41;0;1;1;0;0;1;1;1;0;0;338;3880;22/11/2011;08/07/2022;8;42;0;8;5.25;4.496.029.994.816.060;8;42.25;4.660.395.446.127.470;297;0;44;6.75;1.728.169.484.582.410;44;14.772.727.272.727.200;51.567.911.257.474.500;326;0;43;75.813.953.488.372.000;20.888.858.454.459.700;43;2.174.418.604.651.160;8.509.465.122.893.490;1;9.763.313.609.467.450;801.775.147.928.994
1;https://github.com/Juniper/junoscriptorium;Python;39;0;1;0;0;0;1;0;0;1;0;430;4808;28/08/2008;28/10/2021;7;39;0;7;5.571.428.571.428.570;6.320.789.582.985.730;7;6.142.857.142.857.140;13.503.808.986.462.100;9;0;5;1.8;13.038.404.810.405.200;5;2.2;17.888.543.819.998.300;21;2.549.019.607.843.130;5;4.4;3.209.361.307.176.240;5;10.2;957.601.169.589.929;1;3.255.813.953.488.370;7.976.744.186.046.510
2;https://github.com/google/grr;Python;43;1;1;1;1;0;1;1;0;0;1;1396;3957;21/08/2011;21/06/2022;6;56;3.116.045.845.272.200;6;9.833.333.333.333.330;8.565.434.412.022.930;6;23.266.666.666.666.600;279.234.429.586.802;307;14.679.448.771.719.500;15;20.533.333.333.333.300;26.457.153.142.032.300;15;11.126.666.666.666.600;15.516.418.339.785.700;334;1.381.239.242.685.020;13;2.576.923.076.923.070;2.888.527.262.047.170;13;17.876.923.076.923.000;21.205.587.072.206.300;0.991044776119403;4.656.160.458.452.720;8.982.808.022.922.630
3;https://github.com/NervanaSystems/coach;Python;31;0;0;1;1;0;0;0;1;1;0;521;1365;01/10/2017;28/06/2021;3;32;6.180.422.264.875.230;3;13.333.333.333.333.300;15.275.252.316.519.400;3;17.366.666.666.666.600;11.881.638.495.314.200;173;0;33;5.242.424.242.424.240;9.453.935.367.845.170;33;1.887.878.787.878.780;44.442.911.116.226.900;196;0;35;5.6;11.404.849.329.793.600;35;3.205.714.285.714.280;8.421.993.017.484.310;0.9591836734693877;4.030.710.172.744.720;7.428.023.032.629.550
4;https://github.com/tensorflow/mesh;Python;46;0;1;1;1;0;0;0;0;0;1;653;1339;09/10/2018;10/06/2022;5;46;6.462.480.857.580.390;5;10;6.782.329.983.125.260;5;130.6;1.363.169.101.762.500;81;0;47;17.234.042.553.191.400;23.003.036.440.357.400;47;24.680.851.063.829.700;4.292.820.415.884.430;112;0;63;17.777.777.777.777.700;30.714.315.483.618.300;63;5.761.904.761.904.760;22.422.421.300.085.400;0.9642857142857143;7.044.410.413.476.260;8.591.117.917.304.740
